gene1,gene2
12727,1538
16675,7419
15896,3888
7310,3734
11169,10579
16464,514
16872,514
532,14098
16519,8070
1881,11704
15263,14552
1814,869
11622,6626
645,2081
11555,5829
1108,17553
12122,10879
10331,3514
10205,4881
15990,7084
14957,10356
5297,5376
5639,3004
2717,14776
17298,9587
14859,6564
5643,15766
16862,16534
16959,7133
14376,14911
15254,7084
9759,8157
16825,2081
886,4077
16120,3734
14790,514
9479,17494
12081,12276
1046,3336
2227,1067
11398,2346
5979,6626
3995,330
9764,10409
17298,14552
3323,9865
3793,2291
14434,1656
6182,3514
11057,11789
5983,11789
11760,17777
6505,14911
6719,7157
4583,489
10044,11064
10574,7084
12719,14098
2021,8481
3202,17777
15690,12520
16230,5575
7338,6626
14600,5405
7282,16911
12863,2081
8532,3201
7503,5060
17265,9587
15157,2262
8414,14476
10399,266
386,6736
6527,10579
12509,16927
6189,11132
15000,12078
8649,16567
3457,2720
16089,7419
8897,15975
16568,8632
1278,4961
10153,3514
17385,514
9458,3238
8799,17311
15168,8359
1421,2491
15310,5405
4889,6626
13081,13520
7195,7372
9886,11333
3291,5060
15325,3514
9492,3201
11789,11122
10287,3464
8346,5561
2346,14658
13879,1067
14390,15085
13033,5768
13502,1202
1128,5879
3932,6853
15167,3734
14527,514
13180,514
10344,9030
6271,16029
3552,1684
14302,6626
3149,9641
6995,3752
14408,5349
9808,514
1496,2856
1628,1213
17276,4328
14590,11789
5029,9239
8847,17777
9914,11834
13188,11834
2005,14098
9923,8481
4049,14796
11310,1741
1144,12565
9006,7284
3074,1954
13457,14357
16138,14357
16911,6378
17603,4426
17249,16029
1564,3488
3045,12078
2463,11272
4527,3336
4847,1684
17282,14173
7512,1353
4614,1538
7423,1738
13744,14547
830,12520
17467,6044
12170,8481
17730,3218
15459,5561
12091,2491
10110,1741
4577,11355
6705,11355
9964,15824
2397,8457
14672,2820
10582,4381
12466,6736
11437,4569
11919,9392
12055,7154
15906,15952
16112,13818
11656,2720
10426,5626
16446,2195
1499,2081
16214,5033
16052,3490
15422,5768
13109,4428
16128,3734
12278,6784
8006,514
14131,14911
12745,15054
11609,7378
17715,5283
3328,6805
2791,16425
9074,1630
4338,16327
2952,15709
17674,15329
1254,12078
7134,16148
6901,14707
1226,7783
2833,12507
6684,16966
12346,1538
10608,4133
12991,5441
12695,8860
14364,2856
12786,3336
4503,11186
3863,13340
4055,14144
13907,8368
3454,4155
12090,5674
12786,4837
4558,1387
377,4155
13111,5626
12304,3117
10083,1538
13964,2081
11561,3135
12896,15975
16233,8830
8368,5493
5344,5493
13776,3464
