AP4S1,CDKN2A
ZSCAN21,PSMD2
KCND1,EGFR
DMTN,KRT40
UHRF1BP1,TMEM17
SIGLEC7,TP53RK
TST,REL
TTLL12,KRTAP10-8
CNBP,NCOR2
PLEKHA4,HECW2
ORAI1,SIRT7
SEC23A,CLK2
DISP2,TRAF6
NDUFB3,PSMD2
LCE2D,HSP90AB1
NKX2-1,AURKA
PMS2P1,NFKB1
SMC5,REL
DYRK4,KARS
BBIP1,MYC
SRRM3,PRKCD
CHGA,HIST1H3A
DUSP6,PYHIN1
UBE2U,COPS6
TTLL12,FASTKD3
EPHA4,REL
AKAP10,PRKDC
STRAP,THRB
TRIM35,YWHAZ
KCNN4,HIST1H3A
MEIS1,GABARAP
MYO15A,AR
MTA2,CCDC85B
NEK6,PRMT6
DHTKD1,MAP1LC3B
RPS2,DOCK5
MRPL40,PYHIN1
HPS6,TCTN3
HSDL2,CDK4
FGF6,NRF1
SF3B4,MAP3K5
NT5DC3,CDK2
PCGF3,RBPMS
STK31,RPA1
ZFAND3,MEOX2
OGDH,PYHIN1
DMAP1,RAD52
HEPH,RIOK2
SRPRB,TADA2A
ZNF135,PCBP1
EXOC8,TP73
ISOC2,MNDA
PPIAL4D,YWHAZ
ZSCAN32,PRKDC
KCTD6,HIST1H3A
FGF1,LIG4
RPE,SF3A1
TYMP,ILF2
PRDX6,MEOX2
CTSK,ITGA4
SLC25A42,METTL18
UBR4,TADA2A
RBMS2,ARRB1
DEGS1,HDAC8
OLFML2A,TMEM17
ADAT1,FYN
KCNK4,SNU13
DKK3,CUL3
ORAI2,ILK
CDC25C,APOA1
ACOX1,KRTAP10-8
SORCS3,FBXO6
SELT,KRTAP10-7
ARHGEF11,KRTAP10-7
ATG13,CEP128
ONECUT1,BTRC
CCL27,VCAN
ARMC8,KRTAP10-3
ZNF263,HNRNPK
MANEA,HSP90AB1
UNKL,FBXO6
HGF,OTUB1
MTERF1,SPICE1
ECI2,REL
NUMB,AIRE
NOMO3,LNX1
KIF3A,KRT40
TFAP2A,FASTKD3
SPACA7,HSPA8
CTGF,PHKG2
PIK3AP1,PHKG2
PCDHB2,AP2M1
HLA-DQA1,AP2M1
RCOR1,ERBB4
ASAH2B,LNX1
RTN3,RPS6KA5
HSD17B4,RPS6KA5
ARRDC1-AS1,LRRK2
VPREB3,APOA1
ABHD1,CLEC7A
RALY,METTL18
RABGAP1,MED19
DOT1L,XRCC5
SETDB2,MAP1LC3B
QRICH1,FATE1
GABRA3,LYN
NFE4,GMCL1
C14orf1,RPL10L
KRT76,CBX8
LGTN,JUN
OPRK1,TADA2A
UBE2E3,KSR1
MDM2,KRTAP5-9
ITPRIPL2,AKT1
LRRC37A11P,MDM2
ANGPTL3,HTT
CCDC42B,MYC
ENAH,RBPMS
HDC,ELAVL1
GAMT,UNC119
FBXL5,UNC119
IFT172,MEOX2
ALKBH3,MEOX2
SIGLEC8,MAPK1
IQCF2,CBLC
ICOSLG,DAB2
ZNF22,CFTR
CD9,GAB1
MTMR6,MNDA
RBM5,ICT1
OR6B3,AIM2
KRTAP4-11,PNMA1
NAV2,CUL3
CNGB1,PHGDH
CDK14,RPL13
PRR3,RUVBL2
ISCA2,YWHAG
LOR,RPS4X
ZNF107,ACTA1
CDCA7,MTUS2
UPP2,HNRNPU
GTDC1,BAG3
C1R,HSPA5
TMX3,HTT
YOD1,LIG4
TMEM120A,ITGA4
PPIF,ILF2
CAAP1,NMI
ACSM5,WDR5
NFIA,FBXO6
SSX4,NFKB1
EFHC2,CREBBP
POLN,HIST1H3A
FAM43B,LNX1
CAPN7,PAXIP1
ATP6V0C,HDAC6
EFNA3,KRT40
IRS1,KRTAP10-3
STK4,PAXBP1
KRTAP8-1,FN1
AUH,TMEM17
ZNF433,TMEM17
INTS9,PRKDC
